Iteration,Timestamp,OffChain_Storage(ms),OnChain_RequestTx(ms),OnChain_ApprovalTx(ms),OCR_Consensus_And_FulfillmentTx(ms),Total_Latency(ms)
43,1773678710219,93.86,272.29,294.29,33140.63,33801.08
44,1773678748972,70.01,142.42,164.94,35513.86,35891.22
45,1773678785919,68.64,148.49,234.13,33856.27,34307.54
46,1773678824610,98.79,426.08,312.27,35044.07,35881.20
47,1773678861409,92.15,183.13,138.86,33587.68,34001.82
48,1773678898634,71.27,236.67,190.44,33920.06,34418.44
49,1773678937074,70.88,139.39,133.18,35463.80,35807.25
50,1773678973972,77.58,145.25,248.95,33614.12,34085.90
51,1773679012872,85.95,158.47,183.58,35663.35,36091.36
52,1773679049689,82.85,147.30,134.12,33642.52,34006.79
53,1773679086391,126.48,238.99,372.45,33348.94,34086.85
54,1773679125369,71.12,151.73,143.27,35800.97,36167.09
55,1773679162304,83.99,243.57,304.64,33491.18,34123.38
56,1773679201094,96.75,138.57,232.23,35708.14,36175.70
57,1773679237875,70.51,195.57,486.46,33215.05,33967.60
58,1773679275147,63.37,190.14,238.64,33964.71,34456.86
59,1773679313629,87.91,261.89,573.55,34742.34,35665.69
60,1773679350327,91.77,137.94,198.99,33644.69,34073.38
61,1773679483331,517.61,761.59,512.65,34877.42,36669.27
62,1773679521003,74.56,172.00,166.88,35329.60,35743.04
63,1773679557947,74.30,230.06,465.16,33706.92,34476.44
64,1773679596113,82.30,256.50,194.63,35233.99,35767.41
65,1773679632977,94.39,182.36,232.19,33395.39,33904.33
66,1773679669598,96.27,364.73,73.42,33598.82,34133.23
67,1773679707564,80.71,177.61,171.03,35730.10,36159.45
68,1773679743845,84.42,207.70,278.09,33426.70,33996.91
69,1773679782338,83.27,223.10,133.72,35719.01,36159.11
70,1773679818854,74.66,132.05,135.36,33819.34,34161.42
71,1773679854312,97.00,178.14,308.45,33225.95,33809.53
72,1773679892935,67.53,198.73,189.16,35821.27,36276.70
73,1773679929300,90.19,218.26,388.70,33329.58,34026.73
74,1773679967656,80.50,184.40,284.83,35491.41,36041.15
75,1773680003595,65.82,172.98,242.44,33828.66,34309.91
76,1773680039839,90.95,175.81,118.41,33555.67,33940.84
77,1773680078486,61.94,149.32,205.21,35900.98,36317.45
78,1773680114602,78.04,254.61,579.42,32878.58,33790.65
79,1773680152427,65.80,151.81,163.59,35814.92,36196.12
80,1773680188773,89.02,227.94,183.21,33515.24,34015.40
81,1773680315325,207.73,649.76,1113.20,34682.29,36652.98
82,1773680349972,121.40,208.88,175.57,32886.28,33392.13
83,1773680386949,86.44,159.31,192.64,33807.63,34246.02
84,1773680424921,67.52,171.15,180.52,35634.73,36053.93
85,1773680461132,83.41,141.84,212.18,33441.75,33879.18
86,1773680499080,89.14,216.29,291.21,35721.68,36318.32
87,1773680535214,77.54,250.68,223.63,33266.81,33818.65
88,1773680571592,65.84,201.87,179.53,33627.83,34075.07
89,1773680610016,75.16,235.42,44.37,35756.95,36111.90
90,1773680645771,76.51,142.85,288.98,33639.57,34147.91
91,1773680684208,100.29,134.50,186.30,35710.70,36131.79
92,1773680720516,58.59,118.68,146.69,33680.59,34004.54
93,1773680756954,65.06,136.38,188.04,33747.65,34137.13
94,1773680794815,99.11,242.88,315.57,35608.08,36265.64
95,1773680831045,62.33,196.60,275.70,33413.93,33948.56
96,1773680869457,78.63,131.31,253.64,35632.42,36096.01
97,1773680905402,98.73,243.17,455.77,33226.65,34024.32
98,1773680941617,66.94,146.38,189.03,33834.25,34236.60
99,1773680980118,69.46,207.95,244.44,35712.03,36233.88
