Iteration,Timestamp,OffChain_Storage(ms),OnChain_RequestTx(ms),OnChain_ApprovalTx(ms),OCR_Consensus_And_FulfillmentTx(ms),Total_Latency(ms)
1,1773418364331,146.54,527.69,410.17,36054.89,37139.29
2,1773418403060,77.58,211.65,269.66,35322.49,35881.37
3,1773418439912,61.64,208.85,150.89,33506.08,33927.47
4,1773418479429,61.21,144.22,160.20,36207.17,36572.80
5,1773418516078,93.19,276.42,183.47,33214.33,33767.41
6,1773418553000,70.43,155.87,216.12,33541.72,33984.14
7,1773418591972,55.30,106.87,210.83,35660.09,36033.08
8,1773418629454,61.67,178.01,130.27,34168.49,34538.44
9,1773418668089,67.23,132.67,171.75,35396.73,35768.38
10,1773418704901,84.24,145.53,149.38,33491.33,33870.48
11,1773418742029,88.80,184.25,150.25,33760.87,34184.17
12,1773418780978,64.93,133.57,152.50,35657.99,36009.00
13,1773418818127,87.09,143.57,263.24,33782.52,34276.42
14,1773418857008,54.88,167.45,262.35,35449.12,35933.81
15,1773418893953,55.82,140.97,134.02,33669.11,33999.91
16,1773418931067,57.72,165.25,241.08,33708.07,34172.13
17,1773418969962,78.55,149.96,209.85,35571.89,36010.25
18,1773419006988,55.05,109.01,282.71,33648.45,34095.22
19,1773419046127,62.65,106.30,212.13,35815.84,36196.92
20,1773419083146,76.43,104.86,193.69,33771.90,34146.87
21,1773419274515,184.45,322.15,321.36,35092.98,35920.94
22,1773419311029,81.22,144.73,137.60,33313.44,33676.99
23,1773419348236,66.71,184.08,143.71,33844.40,34238.90
24,1773419387193,74.52,133.30,169.99,35665.92,36043.73
25,1773419424659,60.30,157.62,173.30,34003.88,34395.10
26,1773419463846,257.04,374.73,433.23,35139.12,36204.12
27,1773419500713,81.38,174.61,289.68,33350.86,33896.53
28,1773419537992,99.42,196.24,226.86,33787.63,34310.15
29,1773419577032,87.32,131.63,151.68,35683.35,36053.99
30,1773419613762,96.96,125.59,131.26,33348.25,33702.06
31,1773419652778,78.16,149.46,132.67,35724.00,36084.30
32,1773419689741,72.19,153.47,160.44,33633.90,34020.01
33,1773419727033,63.41,96.67,145.09,34031.70,34336.86
34,1773419765997,61.33,108.55,170.63,35675.47,36015.98
35,1773419803116,85.54,185.78,145.65,33823.57,34240.54
36,1773419841990,68.58,131.49,158.35,35602.84,35961.26
37,1773419878886,62.80,99.69,145.07,33674.06,33981.61
38,1773419915970,59.46,189.09,117.21,33829.70,34195.46
39,1773419954847,79.48,110.26,162.95,35569.97,35922.64
40,1773419991861,65.58,117.31,198.42,33692.81,34074.11
41,1773678636981,334.22,597.68,536.77,35401.68,36870.34
42,1773678673622,81.20,375.65,227.34,33442.54,34126.73
